study,participant_id,generator,rate,trial,sequence,type,terminal_streak_length,prediction_raw,prediction_recode
2A,31,analyst,50,4,11101010,filler,1,74,26
2A,31,analyst,50,5,10000101,filler,1,25,25
2A,31,analyst,50,6,10000000,target,7,9,91
2A,31,analyst,50,7,10000001,filler,1,28,28
2A,31,analyst,50,8,00110110,filler,1,56,44
2A,31,analyst,50,9,10100111,target,3,56,56
2A,31,analyst,50,10,00001101,filler,1,39,39
2A,31,analyst,50,11,10101010,filler,1,74,26
2A,31,analyst,50,12,11000110,filler,1,22,78
2A,31,analyst,50,13,01101010,filler,1,38,62
2A,31,analyst,50,14,00110101,filler,1,63,63
2A,31,analyst,50,15,11011111,target,5,81,81
2A,31,analyst,50,16,10110100,target,2,53,47
2A,31,analyst,50,17,01011101,filler,1,38,38
2A,31,analyst,50,18,10101111,target,4,65,65
2A,32,analyst,50,1,11000110,filler,1,52,48
2A,32,analyst,50,2,10111111,target,6,76,76
2A,32,analyst,50,3,01011110,filler,1,16,84
2A,32,analyst,50,4,00110101,filler,1,7,7
2A,32,analyst,50,5,10110100,target,2,67,33
2A,32,analyst,50,6,01010010,filler,1,74,26
2A,32,analyst,50,7,01011111,target,5,78,78
2A,32,analyst,50,8,10100110,filler,1,29,71
2A,32,analyst,50,9,10101111,target,4,70,70
2A,32,analyst,50,10,10000101,filler,1,36,36
2A,32,analyst,50,11,01000101,filler,1,68,68
2A,32,analyst,50,12,01101010,filler,1,89,11
2A,32,analyst,50,13,01110010,filler,1,54,46
2A,32,analyst,50,14,01011101,filler,1,62,62
2A,32,analyst,50,15,11010010,filler,1,69,31
2A,32,analyst,50,16,01010111,target,3,43,43
2A,32,analyst,50,17,11111010,filler,1,70,30
2A,32,analyst,50,18,01111111,target,7,97,97
2A,33,analyst,50,1,01000001,filler,1,20,20
2A,33,analyst,50,2,10100000,target,5,88,12
2A,33,analyst,50,3,11111101,filler,1,22,22
2A,33,analyst,50,4,10101010,filler,1,48,52
2A,33,analyst,50,5,11000110,filler,1,51,49
2A,33,analyst,50,6,10001010,filler,1,49,51
2A,33,analyst,50,7,00101111,target,4,49,49
2A,33,analyst,50,8,01010101,filler,1,50,50
2A,33,analyst,50,9,10100110,filler,1,49,51
2A,33,analyst,50,10,01011000,target,3,49,51
2A,33,analyst,50,11,10000101,filler,1,52,52
2A,33,analyst,50,12,11010010,filler,1,49,51
2A,33,analyst,50,13,00111111,target,6,49,49
2A,33,analyst,50,14,01010100,target,2,48,52
2A,33,analyst,50,15,01011110,filler,1,48,52
2A,33,analyst,50,16,10000000,target,7,48,52
2A,33,analyst,50,17,01011101,filler,1,51,51
2A,33,analyst,50,18,11111010,filler,1,52,48
2A,34,analyst,50,1,10001010,filler,1,93,7
2A,34,analyst,50,2,11011001,filler,1,74,74
2A,34,analyst,50,3,01010101,filler,1,0,0
2A,34,analyst,50,4,01000001,filler,1,1,1
2A,34,analyst,50,5,00110101,filler,1,21,21
2A,34,analyst,50,6,10110100,target,2,90,10
2A,34,analyst,50,7,00001101,filler,1,67,67
2A,34,analyst,50,8,11111010,filler,1,81,19
2A,34,analyst,50,9,01110010,filler,1,34,66
2A,34,analyst,50,10,01111111,target,7,91,91
2A,34,analyst,50,11,01011000,target,3,69,31
2A,34,analyst,50,12,10101111,target,4,27,27
2A,34,analyst,50,13,00110110,filler,1,17,83
2A,34,analyst,50,14,01011101,filler,1,75,75
2A,34,analyst,50,15,01011110,filler,1,25,75
2A,34,analyst,50,16,01011111,target,5,79,79
2A,34,analyst,50,17,11000000,target,6,36,64
2A,34,analyst,50,18,10100110,filler,1,10,90
2A,35,analyst,50,1,00110101,filler,1,76,76
2A,35,analyst,50,2,10100000,target,5,15,85
2A,35,analyst,50,3,01111111,target,7,60,60
2A,35,analyst,50,4,00110110,filler,1,78,22
2A,35,analyst,50,5,00111111,target,6,59,59
2A,35,analyst,50,6,11000110,filler,1,49,51
2A,35,analyst,50,7,00101111,target,4,26,26
2A,35,analyst,50,8,11001101,filler,1,30,30
2A,35,analyst,50,9,01000001,filler,1,26,26
2A,35,analyst,50,10,10001010,filler,1,4,96
2A,35,analyst,50,11,10101011,target,2,4,4
2A,35,analyst,50,12,11011001,filler,1,57,57
2A,35,analyst,50,13,10101000,target,3,32,68
2A,35,analyst,50,14,11111010,filler,1,65,35
2A,35,analyst,50,15,11110010,filler,1,66,34
2A,35,analyst,50,16,01101010,filler,1,14,86
2A,35,analyst,50,17,10101010,filler,1,84,16
2A,35,analyst,50,18,01010101,filler,1,2,2
2A,36,analyst,50,1,00110101,filler,1,81,81
2A,36,analyst,50,2,01011101,filler,1,83,83
2A,36,analyst,50,3,11001101,filler,1,44,44
2A,36,analyst,50,4,11111010,filler,1,58,42
2A,36,analyst,50,5,00110110,filler,1,54,46
2A,36,analyst,50,6,10101010,filler,1,92,8
2A,36,analyst,50,7,10001010,filler,1,53,47
2A,36,analyst,50,8,01010101,filler,1,53,53
2A,36,analyst,50,9,01010010,filler,1,54,46
2A,36,analyst,50,10,10000000,target,7,16,84
2A,36,analyst,50,11,00100000,target,5,27,73
2A,36,analyst,50,12,11011001,filler,1,66,66
2A,36,analyst,50,13,00111111,target,6,82,82
2A,36,analyst,50,14,01001011,target,2,34,34
2A,36,analyst,50,15,11010000,target,4,8,92
2A,36,analyst,50,16,11101010,filler,1,53,47
2A,36,analyst,50,17,01000101,filler,1,53,53
2A,36,analyst,50,18,01011000,target,3,31,69
2A,37,analyst,50,1,11110010,filler,1,13,87
2A,37,analyst,50,2,01010101,filler,1,54,54
2A,37,analyst,50,3,11011111,target,5,49,49
2A,37,analyst,50,4,00110110,filler,1,50,50
2A,37,analyst,50,5,11101010,filler,1,36,64
2A,37,analyst,50,6,10001010,filler,1,62,38
2A,37,analyst,50,7,00110101,filler,1,33,33
2A,37,analyst,50,8,11011001,filler,1,48,48
2A,37,analyst,50,9,01010000,target,4,62,38
2A,37,analyst,50,10,10101011,target,2,36,36
2A,37,analyst,50,11,10000101,filler,1,62,62
2A,37,analyst,50,12,10000001,filler,1,60,60
2A,37,analyst,50,13,11010010,filler,1,51,49
2A,37,analyst,50,14,01111111,target,7,39,39
2A,37,analyst,50,15,11111010,filler,1,39,61
2A,37,analyst,50,16,01011110,filler,1,38,62
2A,37,analyst,50,17,11000000,target,6,67,33
2A,37,analyst,50,18,10100111,target,3,34,34
2A,38,analyst,50,1,10100110,filler,1,59,41
2A,38,analyst,50,2,11001101,filler,1,22,22
2A,38,analyst,50,3,11011111,target,5,7,7
2A,38,analyst,50,4,10000000,target,7,54,46
2A,38,analyst,50,5,01000001,filler,1,48,48
2A,38,analyst,50,6,00110110,filler,1,52,48
2A,38,analyst,50,7,00101111,target,4,39,39
2A,38,analyst,50,8,01011101,filler,1,32,32
2A,38,analyst,50,9,10000101,filler,1,54,54
2A,38,analyst,50,10,01101010,filler,1,51,49
2A,38,analyst,50,11,10101010,filler,1,51,49
2A,38,analyst,50,12,00110101,filler,1,51,51
2A,38,analyst,50,13,10101000,target,3,49,51
2A,38,analyst,50,14,01001011,target,2,53,53
2A,38,analyst,50,15,11101010,filler,1,52,48
2A,38,analyst,50,16,10001010,filler,1,51,49
2A,38,analyst,50,17,11010010,filler,1,49,51
2A,38,analyst,50,18,00111111,target,6,51,51
2A,39,analyst,50,1,01110010,filler,1,50,50
2A,39,analyst,50,2,01010000,target,4,11,89
2A,39,analyst,50,3,11010010,filler,1,76,24
2A,39,analyst,50,4,11111101,filler,1,96,96
2A,39,analyst,50,5,11011001,filler,1,58,58
2A,39,analyst,50,6,01011101,filler,1,79,79
2A,39,analyst,50,7,00001101,filler,1,17,17
2A,39,analyst,50,8,10000101,filler,1,16,16
2A,39,analyst,50,9,01011110,filler,1,77,23
2A,39,analyst,50,10,01010101,filler,1,50,50
2A,39,analyst,50,11,11001101,filler,1,33,33
2A,39,analyst,50,12,10101000,target,3,18,82
2A,39,analyst,50,13,11011111,target,5,76,76
2A,39,analyst,50,14,00111111,target,6,68,68
2A,39,analyst,50,15,00110101,filler,1,52,52
2A,39,analyst,50,16,01010100,target,2,60,40
2A,39,analyst,50,17,11110010,filler,1,29,71
2A,39,analyst,50,18,10000000,target,7,12,88
2A,40,analyst,50,1,00110101,filler,1,52,52
2A,40,analyst,50,2,11111101,filler,1,98,98
2A,40,analyst,50,3,01011101,filler,1,66,66
2A,40,analyst,50,4,10101010,filler,1,51,49
2A,40,analyst,50,5,01000101,filler,1,20,20
2A,40,analyst,50,6,10100000,target,5,6,94
2A,40,analyst,50,7,01001011,target,2,50,50
2A,40,analyst,50,8,00110110,filler,1,50,50
2A,40,analyst,50,9,11001101,filler,1,59,59
2A,40,analyst,50,10,11010010,filler,1,50,50
2A,40,analyst,50,11,11011001,filler,1,63,63
2A,40,analyst,50,12,01011000,target,3,16,84
2A,40,analyst,50,13,01111111,target,7,98,98
2A,40,analyst,50,14,11010000,target,4,19,81
2A,40,analyst,50,15,10000101,filler,1,11,11
2A,40,analyst,50,16,00001101,filler,1,18,18
2A,40,analyst,50,17,01011110,filler,1,68,32
2A,40,analyst,50,18,01000000,target,6,3,97
2A,41,analyst,50,1,01101010,filler,1,63,37
2A,41,analyst,50,2,11111101,filler,1,81,81
2A,41,analyst,50,3,01001011,target,2,50,50
2A,41,analyst,50,4,10000000,target,7,50,50
2A,41,analyst,50,5,11101010,filler,1,63,37
2A,41,analyst,50,6,01011000,target,3,47,53
2A,41,analyst,50,7,01011101,filler,1,60,60
2A,41,analyst,50,8,10101010,filler,1,74,26
2A,41,analyst,50,9,11010000,target,4,48,52
2A,41,analyst,50,10,01010101,filler,1,46,46
2A,41,analyst,50,11,10100110,filler,1,57,43
2A,41,analyst,50,12,10001010,filler,1,56,44
2A,41,analyst,50,13,00111111,target,6,73,73
2A,41,analyst,50,14,01010010,filler,1,47,53
2A,41,analyst,50,15,11111010,filler,1,49,51
2A,41,analyst,50,16,11010010,filler,1,58,42
2A,41,analyst,50,17,11110010,filler,1,52,48
2A,41,analyst,50,18,11011111,target,5,70,70
2A,42,analyst,50,1,10101010,filler,1,87,13
2A,42,analyst,50,2,01011111,target,5,21,21
2A,42,analyst,50,3,01101010,filler,1,69,31
2A,42,analyst,50,4,01111111,target,7,4,4
2A,42,analyst,50,5,01010100,target,2,87,13
2A,42,analyst,50,6,01010111,target,3,18,18
2A,42,analyst,50,7,11111101,filler,1,31,31
2A,42,analyst,50,8,01011110,filler,1,56,44
2A,42,analyst,50,9,00110101,filler,1,57,57
2A,42,analyst,50,10,10101111,target,4,21,21
2A,42,analyst,50,11,11101010,filler,1,27,73
2A,42,analyst,50,12,01010101,filler,1,44,44
2A,42,analyst,50,13,01000101,filler,1,69,69
2A,42,analyst,50,14,01110010,filler,1,65,35
2A,42,analyst,50,15,11010010,filler,1,71,29
2A,42,analyst,50,16,10100110,filler,1,67,33
2A,42,analyst,50,17,10111111,target,6,9,9
2A,42,analyst,50,18,11000110,filler,1,57,43
2A,43,analyst,50,1,01010101,filler,1,57,57
2A,43,analyst,50,2,01101010,filler,1,71,29
2A,43,analyst,50,3,10101010,filler,1,90,10
2A,43,analyst,50,4,10100110,filler,1,68,32
2A,43,analyst,50,5,10100111,target,3,28,28
2A,43,analyst,50,6,01000101,filler,1,25,25
2A,43,analyst,50,7,11110010,filler,1,76,24
2A,43,analyst,50,8,10101111,target,4,75,75
2A,43,analyst,50,9,01011101,filler,1,16,16
2A,43,analyst,50,10,10100000,target,5,46,54
2A,43,analyst,50,11,11011001,filler,1,33,33
2A,43,analyst,50,12,10000000,target,7,78,22
2A,43,analyst,50,13,01001011,target,2,33,33
2A,43,analyst,50,14,11101010,filler,1,68,32
2A,43,analyst,50,15,01000000,target,6,15,85
2A,43,analyst,50,16,01000001,filler,1,71,71
2A,43,analyst,50,17,10001010,filler,1,38,62
2A,43,analyst,50,18,01110010,filler,1,37,63
2A,44,analyst,50,1,11101010,filler,1,67,33
2A,44,analyst,50,2,11001101,filler,1,67,67
2A,44,analyst,50,3,00110110,filler,1,67,33
2A,44,analyst,50,4,01010101,filler,1,58,58
2A,44,analyst,50,5,10100111,target,3,45,45
2A,44,analyst,50,6,10001010,filler,1,79,21
2A,44,analyst,50,7,00111111,target,6,54,54
2A,44,analyst,50,8,01011111,target,5,54,54
2A,44,analyst,50,9,10000101,filler,1,75,75
2A,44,analyst,50,10,01010000,target,4,86,14
2A,44,analyst,50,11,10101011,target,2,59,59
2A,44,analyst,50,12,11000110,filler,1,55,45
2A,44,analyst,50,13,11010010,filler,1,55,45
2A,44,analyst,50,14,10100110,filler,1,55,45
2A,44,analyst,50,15,01010010,filler,1,72,28
2A,44,analyst,50,16,01111111,target,7,54,54
2A,44,analyst,50,17,10101010,filler,1,51,49
2A,44,analyst,50,18,00110101,filler,1,53,53
2A,45,analyst,50,1,01010010,filler,1,87,13
2A,45,analyst,50,2,01001011,target,2,22,22
2A,45,analyst,50,3,01000001,filler,1,10,10
2A,45,analyst,50,4,00111111,target,6,52,52
2A,45,analyst,50,5,10000001,filler,1,36,36
2A,45,analyst,50,6,01101010,filler,1,75,25
2A,45,analyst,50,7,11101010,filler,1,65,35
2A,45,analyst,50,8,10101010,filler,1,89,11
2A,45,analyst,50,9,00001101,filler,1,34,34
2A,45,analyst,50,10,01010101,filler,1,15,15
2A,45,analyst,50,11,01111111,target,7,45,45
2A,45,analyst,50,12,01011110,filler,1,66,34
2A,45,analyst,50,13,01110010,filler,1,39,61
2A,45,analyst,50,14,10101000,target,3,76,24
2A,45,analyst,50,15,11011111,target,5,11,11
2A,45,analyst,50,16,11010010,filler,1,51,49
2A,45,analyst,50,17,11010000,target,4,91,9
2A,45,analyst,50,18,11001101,filler,1,88,88
2A,46,analyst,50,1,10000101,filler,1,50,50
2A,46,analyst,50,2,11101010,filler,1,51,49
2A,46,analyst,50,3,10101010,filler,1,51,49
2A,46,analyst,50,4,01011111,target,5,51,51
2A,46,analyst,50,5,10111111,target,6,51,51
2A,46,analyst,50,6,01111111,target,7,51,51
2A,46,analyst,50,7,10000001,filler,1,51,51
2A,46,analyst,50,8,11111101,filler,1,51,51
2A,46,analyst,50,9,11010000,target,4,51,49
2A,46,analyst,50,10,01001011,target,2,51,51
2A,46,analyst,50,11,01010101,filler,1,51,51
2A,46,analyst,50,12,00110110,filler,1,51,49
2A,46,analyst,50,13,01010010,filler,1,51,49
2A,46,analyst,50,14,11001101,filler,1,51,51
2A,46,analyst,50,15,00110101,filler,1,51,51
2A,46,analyst,50,16,11010010,filler,1,51,49
2A,46,analyst,50,17,01010111,target,3,51,51
2A,46,analyst,50,18,11110010,filler,1,51,49
2A,47,analyst,50,1,11011001,filler,1,51,51
2A,47,analyst,50,2,01010010,filler,1,50,50
2A,47,analyst,50,3,10111111,target,6,51,51
2A,47,analyst,50,4,01110010,filler,1,51,49
2A,47,analyst,50,5,01010000,target,4,51,49
2A,47,analyst,50,6,01011000,target,3,51,49
2A,47,analyst,50,7,10000000,target,7,52,48
2A,47,analyst,50,8,11001101,filler,1,50,50
2A,47,analyst,50,9,01000001,filler,1,50,50
2A,47,analyst,50,10,11000110,filler,1,50,50
2A,47,analyst,50,11,10101011,target,2,50,50
2A,47,analyst,50,12,01010101,filler,1,50,50
2A,47,analyst,50,13,11010010,filler,1,51,49
2A,47,analyst,50,14,00110101,filler,1,50,50
2A,47,analyst,50,15,10100000,target,5,50,50
2A,47,analyst,50,16,10000001,filler,1,49,49
2A,47,analyst,50,17,11111010,filler,1,49,51
2A,47,analyst,50,18,10000101,filler,1,50,50
2A,48,analyst,50,1,11011001,filler,1,25,25
2A,48,analyst,50,2,11110010,filler,1,26,74
2A,48,analyst,50,3,11001101,filler,1,72,72
2A,48,analyst,50,4,11011111,target,5,68,68
2A,48,analyst,50,5,10000101,filler,1,30,30
2A,48,analyst,50,6,11111010,filler,1,82,18
2A,48,analyst,50,7,01110010,filler,1,35,65
2A,48,analyst,50,8,01001011,target,2,18,18
2A,48,analyst,50,9,00110110,filler,1,76,24
2A,48,analyst,50,10,01111111,target,7,72,72
2A,48,analyst,50,11,11101010,filler,1,22,78
2A,48,analyst,50,12,00101111,target,4,31,31
2A,48,analyst,50,13,10100111,target,3,69,69
2A,48,analyst,50,14,11010010,filler,1,78,22
2A,48,analyst,50,15,01011101,filler,1,73,73
2A,48,analyst,50,16,11111101,filler,1,74,74
2A,48,analyst,50,17,11000000,target,6,74,26
2A,48,analyst,50,18,00001101,filler,1,77,77
2A,49,analyst,50,1,01011110,filler,1,86,14
2A,49,analyst,50,2,10101010,filler,1,64,36
2A,49,analyst,50,3,11101010,filler,1,57,43
2A,49,analyst,50,4,00110101,filler,1,42,42
2A,49,analyst,50,5,01111111,target,7,92,92
2A,49,analyst,50,6,10100110,filler,1,50,50
2A,49,analyst,50,7,10001010,filler,1,24,76
2A,49,analyst,50,8,11111101,filler,1,88,88
2A,49,analyst,50,9,00110110,filler,1,77,23
2A,49,analyst,50,10,10000101,filler,1,19,19
2A,49,analyst,50,11,01010101,filler,1,15,15
2A,49,analyst,50,12,01011000,target,3,64,36
2A,49,analyst,50,13,11010000,target,4,21,79
2A,49,analyst,50,14,01001011,target,2,57,57
2A,49,analyst,50,15,10000001,filler,1,34,34
2A,49,analyst,50,16,10100000,target,5,40,60
2A,49,analyst,50,17,01000000,target,6,5,95
2A,49,analyst,50,18,01000001,filler,1,42,42
2A,50,analyst,50,1,11010010,filler,1,50,50
2A,50,analyst,50,2,11000000,target,6,51,49
2A,50,analyst,50,3,01111111,target,7,51,51
2A,50,analyst,50,4,00110101,filler,1,50,50
2A,50,analyst,50,5,10101010,filler,1,51,49
2A,50,analyst,50,6,11000110,filler,1,51,49
2A,50,analyst,50,7,10100110,filler,1,51,49
2A,50,analyst,50,8,11110010,filler,1,50,50
2A,50,analyst,50,9,11111101,filler,1,50,50
2A,50,analyst,50,10,00101111,target,4,51,51
2A,50,analyst,50,11,01001011,target,2,50,50
2A,50,analyst,50,12,10000001,filler,1,50,50
2A,50,analyst,50,13,01011101,filler,1,51,51
2A,50,analyst,50,14,10001010,filler,1,50,50
2A,50,analyst,50,15,01010111,target,3,51,51
2A,50,analyst,50,16,00100000,target,5,50,50
2A,50,analyst,50,17,01101010,filler,1,51,49
2A,50,analyst,50,18,10000101,filler,1,50,50
2A,51,analyst,50,1,10000001,filler,1,27,27
2A,51,analyst,50,2,01110010,filler,1,49,51
2A,51,analyst,50,3,01111111,target,7,90,90
2A,51,analyst,50,4,00001101,filler,1,29,29
2A,51,analyst,50,5,01000001,filler,1,20,20
2A,51,analyst,50,6,01011101,filler,1,48,48
2A,51,analyst,50,7,11010010,filler,1,33,67
2A,51,analyst,50,8,10001010,filler,1,35,65
2A,51,analyst,50,9,11000110,filler,1,27,73
2A,51,analyst,50,10,01010100,target,2,54,46
2A,51,analyst,50,11,00110101,filler,1,53,53
2A,51,analyst,50,12,10100111,target,3,73,73
2A,51,analyst,50,13,01000000,target,6,13,87
2A,51,analyst,50,14,11010000,target,4,18,82
2A,51,analyst,50,15,11101010,filler,1,62,38
2A,51,analyst,50,16,10100110,filler,1,64,36
2A,51,analyst,50,17,01011111,target,5,78,78
2A,51,analyst,50,18,11111010,filler,1,79,21
2A,52,analyst,50,1,11000110,filler,1,49,51
2A,52,analyst,50,2,11011111,target,5,66,66
2A,52,analyst,50,3,01111111,target,7,66,66
2A,52,analyst,50,4,01011110,filler,1,44,56
2A,52,analyst,50,5,01011101,filler,1,37,37
2A,52,analyst,50,6,10000001,filler,1,63,63
2A,52,analyst,50,7,10001010,filler,1,58,42
2A,52,analyst,50,8,10101011,target,2,36,36
2A,52,analyst,50,9,01101010,filler,1,51,49
2A,52,analyst,50,10,10111111,target,6,40,40
2A,52,analyst,50,11,01000001,filler,1,51,51
2A,52,analyst,50,12,10101010,filler,1,51,49
2A,52,analyst,50,13,00110110,filler,1,51,49
2A,52,analyst,50,14,01010111,target,3,51,51
2A,52,analyst,50,15,11001101,filler,1,51,51
2A,52,analyst,50,16,00101111,target,4,51,51
2A,52,analyst,50,17,11101010,filler,1,50,50
2A,52,analyst,50,18,00001101,filler,1,51,51
2A,53,stock,50,1,01000101,filler,1,49,49
2A,53,stock,50,2,01000000,target,6,55,45
2A,53,stock,50,3,01011101,filler,1,41,41
2A,53,stock,50,4,00110101,filler,1,35,35
2A,53,stock,50,5,01101010,filler,1,59,41
2A,53,stock,50,6,11111101,filler,1,91,91
2A,53,stock,50,7,11011111,target,5,74,74
2A,53,stock,50,8,10000000,target,7,12,88
2A,53,stock,50,9,10101000,target,3,56,44
2A,53,stock,50,10,10101010,filler,1,77,23
2A,53,stock,50,11,10101111,target,4,59,59
2A,53,stock,50,12,11111010,filler,1,77,23
2A,53,stock,50,13,00110110,filler,1,79,21
2A,53,stock,50,14,01011110,filler,1,77,23
2A,53,stock,50,15,01010010,filler,1,68,32
2A,53,stock,50,16,01000001,filler,1,16,16
2A,53,stock,50,17,11001101,filler,1,76,76
2A,53,stock,50,18,01001011,target,2,30,30
2A,54,stock,50,1,10101010,filler,1,100,0
2A,54,stock,50,2,11000000,target,6,1,99
2A,54,stock,50,3,11010010,filler,1,87,13
2A,54,stock,50,4,11000110,filler,1,10,90
2A,54,stock,50,5,11010000,target,4,5,95
2A,54,stock,50,6,11001101,filler,1,89,89
2A,54,stock,50,7,01010010,filler,1,64,36
2A,54,stock,50,8,11110010,filler,1,74,26
2A,54,stock,50,9,10101011,target,2,23,23
2A,54,stock,50,10,01011110,filler,1,41,59
2A,54,stock,50,11,10100111,target,3,48,48
2A,54,stock,50,12,01111111,target,7,98,98
2A,54,stock,50,13,01000001,filler,1,35,35
2A,54,stock,50,14,10100110,filler,1,58,42
2A,54,stock,50,15,11111101,filler,1,95,95
2A,54,stock,50,16,00100000,target,5,26,74
2A,54,stock,50,17,01000101,filler,1,38,38
2A,54,stock,50,18,01010101,filler,1,9,9
2A,55,stock,50,1,10101010,filler,1,100,0
2A,55,stock,50,2,10100110,filler,1,0,100
2A,55,stock,50,3,00001101,filler,1,0,0
2A,55,stock,50,4,11111101,filler,1,0,0
2A,55,stock,50,5,01011111,target,5,0,0
2A,55,stock,50,6,10000001,filler,1,100,100
2A,55,stock,50,7,00110110,filler,1,39,61
2A,55,stock,50,8,10001010,filler,1,63,37
2A,55,stock,50,9,01010010,filler,1,26,74
2A,55,stock,50,10,01001011,target,2,39,39
2A,55,stock,50,11,01111111,target,7,0,0
2A,55,stock,50,12,00111111,target,6,0,0
2A,55,stock,50,13,11000110,filler,1,0,100
2A,55,stock,50,14,11011001,filler,1,59,59
2A,55,stock,50,15,11010000,target,4,72,28
2A,55,stock,50,16,00110101,filler,1,51,51
2A,55,stock,50,17,11010010,filler,1,49,51
2A,55,stock,50,18,01010111,target,3,29,29
2A,56,stock,50,1,11000110,filler,1,72,28
2A,56,stock,50,2,01110010,filler,1,77,23
2A,56,stock,50,3,01010000,target,4,27,73
2A,56,stock,50,4,10101011,target,2,78,78
2A,56,stock,50,5,10101010,filler,1,51,49
2A,56,stock,50,6,01011111,target,5,88,88
2A,56,stock,50,7,10100110,filler,1,59,41
2A,56,stock,50,8,01011101,filler,1,75,75
2A,56,stock,50,9,11000000,target,6,8,92
2A,56,stock,50,10,01010010,filler,1,22,78
2A,56,stock,50,11,10001010,filler,1,19,81
2A,56,stock,50,12,01111111,target,7,95,95
2A,56,stock,50,13,01101010,filler,1,2,98
2A,56,stock,50,14,10101000,target,3,23,77
2A,56,stock,50,15,00001101,filler,1,37,37
2A,56,stock,50,16,00110110,filler,1,14,86
2A,56,stock,50,17,11001101,filler,1,50,50
2A,56,stock,50,18,11110010,filler,1,64,36
2A,57,stock,50,1,10000101,filler,1,29,29
2A,57,stock,50,2,11010010,filler,1,16,84
2A,57,stock,50,3,10100111,target,3,44,44
2A,57,stock,50,4,11111101,filler,1,78,78
2A,57,stock,50,5,01000000,target,6,5,95
2A,57,stock,50,6,01110010,filler,1,38,62
2A,57,stock,50,7,11000110,filler,1,25,75
2A,57,stock,50,8,01011101,filler,1,37,37
2A,57,stock,50,9,10100110,filler,1,60,40
2A,57,stock,50,10,00110101,filler,1,30,30
2A,57,stock,50,11,00110110,filler,1,34,66
2A,57,stock,50,12,11110010,filler,1,35,65
2A,57,stock,50,13,01010010,filler,1,15,85
2A,57,stock,50,14,10110100,target,2,36,64
2A,57,stock,50,15,10000000,target,7,4,96
2A,57,stock,50,16,10101111,target,4,54,54
2A,57,stock,50,17,11011001,filler,1,49,49
2A,57,stock,50,18,00100000,target,5,11,89
2A,58,stock,50,1,01011110,filler,1,50,50
2A,58,stock,50,2,01110010,filler,1,50,50
2A,58,stock,50,3,10000000,target,7,50,50
2A,58,stock,50,4,01010100,target,2,49,51
2A,58,stock,50,5,11111010,filler,1,51,49
2A,58,stock,50,6,00110110,filler,1,51,49
2A,58,stock,50,7,11011111,target,5,50,50
2A,58,stock,50,8,01000001,filler,1,50,50
2A,58,stock,50,9,10101111,target,4,50,50
2A,58,stock,50,10,11010010,filler,1,51,49
2A,58,stock,50,11,00001101,filler,1,51,51
2A,58,stock,50,12,01010010,filler,1,50,50
2A,58,stock,50,13,11000110,filler,1,51,49
2A,58,stock,50,14,10101010,filler,1,51,49
2A,58,stock,50,15,01000000,target,6,51,49
2A,58,stock,50,16,10100111,target,3,51,51
2A,58,stock,50,17,11111101,filler,1,51,51
2A,58,stock,50,18,01000101,filler,1,50,50
2A,59,stock,50,1,11000110,filler,1,3,97
2A,59,stock,50,2,01110010,filler,1,73,27
2A,59,stock,50,3,10101010,filler,1,100,0
2A,59,stock,50,4,00100000,target,5,50,50
2A,59,stock,50,5,10000000,target,7,2,98
2A,59,stock,50,6,10111111,target,6,79,79
2A,59,stock,50,7,01010101,filler,1,3,3
2A,59,stock,50,8,11010010,filler,1,50,50
2A,59,stock,50,9,10100111,target,3,66,66
2A,59,stock,50,10,11010000,target,4,11,89
2A,59,stock,50,11,10100110,filler,1,36,64
2A,59,stock,50,12,10110100,target,2,51,49
2A,59,stock,50,13,01010010,filler,1,0,100
2A,59,stock,50,14,00001101,filler,1,50,50
2A,59,stock,50,15,01000101,filler,1,70,70
2A,59,stock,50,16,11011001,filler,1,100,100
2A,59,stock,50,17,01011110,filler,1,79,21
2A,59,stock,50,18,10000001,filler,1,0,0
2A,60,stock,50,1,10001010,filler,1,43,57
2A,60,stock,50,2,11010010,filler,1,60,40
2A,60,stock,50,3,00110110,filler,1,28,72
2A,60,stock,50,4,01000001,filler,1,70,70
2A,60,stock,50,5,00001101,filler,1,63,63
2A,60,stock,50,6,11111101,filler,1,70,70
2A,60,stock,50,7,11000000,target,6,72,28
2A,60,stock,50,8,01011111,target,5,62,62
2A,60,stock,50,9,10110100,target,2,37,63
2A,60,stock,50,10,01010101,filler,1,47,47
2A,60,stock,50,11,10100110,filler,1,76,24
2A,60,stock,50,12,11011001,filler,1,74,74
2A,60,stock,50,13,01110010,filler,1,70,30
2A,60,stock,50,14,11110010,filler,1,55,45
2A,60,stock,50,15,10101000,target,3,35,65
2A,60,stock,50,16,10000001,filler,1,77,77
2A,60,stock,50,17,10101111,target,4,77,77
2A,60,stock,50,18,01111111,target,7,81,81
2A,61,stock,50,1,01000001,filler,1,74,74
2A,61,stock,50,2,11000110,filler,1,5,95
2A,61,stock,50,3,10111111,target,6,95,95
2A,61,stock,50,4,10000000,target,7,4,96
2A,61,stock,50,5,01010010,filler,1,81,19
2A,61,stock,50,6,00101111,target,4,85,85
2A,61,stock,50,7,01010101,filler,1,13,13
2A,61,stock,50,8,00001101,filler,1,55,55
2A,61,stock,50,9,01010100,target,2,27,73
2A,61,stock,50,10,10001010,filler,1,18,82
2A,61,stock,50,11,11111101,filler,1,98,98
2A,61,stock,50,12,11110010,filler,1,50,50
